title,desc,items_needed
"""Beach Party""","""Return to Everett.""",""""""
"""Destination: Faraway Enclave""","""Travel to the Faraway Enclave.""",""""""
"""God of Fortune""","""Find Lister's altar in this realm.""",""""""
"""Pest Patrol""","""Defeat the creature at Realm Depth 45.""",""""""
"""The Slog""","""Return to Everett.""",""""""
"""Destination: The Barrens""","""Travel to The Barrens.""",""""""
"""Goddess of Illusion""","""Find Yseros' altar in this realm.""",""""""
"""Riddle Me This""","""Seek out Ramses at Realm Depth 48 and solve his riddle.""",""""""
"""So Close Yet So Far""","""Return to Everett.""",""""""
"""Destination: Unsullied Meadows""","""Travel to the Unsullied Meadows.""",""""""
"""God of Wind""","""Find Aeolian's altar in this realm.""",""""""
"""The Great Scavenge""","""Acquire a Void Rune.""",""""""
"""An Unpleasant Surprise""","""Return to Everett.""",""""""
"""Destination: Bastion of the Void""","""Travel to the Bastion of the Void.""",""""""
"""God of Shadow""","""Find Tenebris' altar in this realm.""",""""""
"""God of Extinction""","""Find Perdition's altar in this realm.""",""""""
"""Shadows Fall""","""Overcome your inner turmoil.""",""""""
"""To Kill a God""","""Speak with Everett.""",""""""
"""Destination: Torture Chamber""","""Travel to the Torture Chamber.""",""""""
"""God of Punishment""","""Find Tartarith's altar in this realm.""",""""""
"""The End of Pain""","""Rescue Damaos and Hebron.""",""""""
"""The Saddest News""","""Speak with Everett.""",""""""
"""Destination: Kingdom of Heretics""","""Travel to the Kingdom of Heretics.""",""""""
"""God of War""","""Find Gonfurian's altar in this realm.""",""""""
"""Vengeance""","""Defeat the King of Nex.""",""""""
"""The True Enemy""","""Speak with Everett.""",""""""
"""Destination: Sanctum Umbra""","""Travel to Sanctum Umbra.""",""""""
"""The Awakened Dreamer""","""Defeat Caliban.""",""""""
"""Blood For Blood""","""Speak with Everett.""",""""""
"""Ember to Inferno""","""Collect Living Embers in this Realm to please Vulcanar, God of Fire.","""Living Embers Collected"""
"""Spontaneous Combustion""","""Activate small volcanoes in this Realm to please Vulcanar, God of Fire.","""Volcanoes Activated"""
"""God of Extinction""","""Find Perdition's altar in this realm.""",""""""
"""Nether Boss""","""Seek out the Nether Portal in this realm and defeat the Nether Boss contained within.""",""""""
"""False God""","""Defeat the enemies in this Realm to track down the False God, then defeat them.""",""""""
"""Treasures of the Deep""","""Search for lost relics in this Realm.""","""Relics Found"""
"""Supply Hunt""","""Search for supplies in this Realm.""","""Supplies Found"""
"""Icky Ichor""","""Find and study the ichor pools in this Realm.""","""Ichor Found"""
"""Love Notes""","""Find and study the scrolls scattered around this Realm.""","""Scrolls Studied"""
"""Shrine of Sands""","""Find and activate Sand Shrines in this Realm.""","""Shrines Activated"""
"""Lost Treasure""","""Find buried treasure in this Realm.""","""Treasure Found"""
"""Washed Ashore""","""Find and study the starfish in this Realm.""","""Starfish Studied"""
"""Raw Sewage""","""Find and destroy a boss in a sewer in this Realm.""","""Sewer Boss Killed"""
"""Balls of Fire""","""Find and activate magma orbs in this Realm.""","""Magma Orbs Found"""
"""Nemesis Shrine""","""Find and activate a Nemesis Shrine in this Realm.""","""Nemesis Shrine Activated"""
"""Light in the Dark""","""Find illuminated skulls in this Realm.""","""Skulls Found"""
"""Shrine of Spiders""","""Find and activate Spider Shrines in this Realm.""","""Shrines Activated"""
"""Unexpected Wealth""","""Mine rocks for resources in this Realm.""","""Rocks Mined"""
"""Blessed Be""","""Find and activate an Angel Shrine in this Realm.""","""Shrine Activated"""
"""Effigies For Days""","""Find and activate mysterious Effigies in this Realm.""","""Effigies Found"""
"""Tartarith's Homework""","""Find and read scrolls in this Realm.""","""Scrolls Found"""
"""You Don't Even Give a Cairn""","""Find cairns in this Realm.""","""Cairns Found"""
"""Nature's Bounty""","""Find fruit trees in this Realm.""","""Fruit Trees Found"""
"""But Why Was It Moving?""","""Find and rescue webbed victims in this Realm.""","""Victims Rescued"""
"""The Decorated Soldier""","""Find coats of arms in this Realm.""","""Coats of Arms Found"""
"""Goddess of Falsity""","""Find Alexandria's altar in this realm.""",""""""
"""Goddess of Earth""","""Find Anneltha's altar in this realm.""",""""""
"""God of Balance""","""Find Ariamaki's altar in this realm.""",""""""
"""God of Strife""","""Find Genaros' altar in this realm.""",""""""
"""Goddess of Creation""","""Find Muse's altar in this realm.""",""""""
"""Goddess of Uncertainty""","""Find Reclusa's altar in this realm.""",""""""
"""God of Science""","""Find 4080's altar in this realm.""",""""""
"""Goddess of Prophecy""","""Find Shallan's altar in this realm.""",""""""
"""God of Fusion""","""Find T'mere M'rgo's altar in this realm.""",""""""
"""Self-Made Maestro""","""Use the Music Crystals in this realm to compose a song.""","""Songs Composed"""
"""Red Stones""","""Collect Red Magnetic Stones in this Realm.""","""Red Stones Found"""
"""Blue Stones""","""Collect Blue Magnetic Stones in this Realm.""","""Blue Stones Found"""
"""An Unexpected Donation""","""Make an offering to the Glowing Pits in this Realm to appease Anneltha.""","""Offerings"""
"""Bottomless Pits""","""Find Pit Worms that are minding their own business. Then, kill them.""","""Pit Worms Killed"""
"""The Exterminator Has Arrived""","""Find and destroy Waspids in their hives.""","""Waspids Exterminated"""
"""Back to the Junk Heap""","""Activate Modrons in this Realm and destroy them.""","""Modrons Destroyed"""
"""Diamond in the Rough""","""Collect Shiny Cogs in this Realm.""","""Shiny Cogs Collected"""
"""A Bit of Elbow Grease""","""Collect Weapon Piles in this Realm.""","""Weapon Piles Collected"""
"""Junkyard Blues""","""Activate Automatons in this Realm and destroy them.""","""Automatons Destroyed"""
"""Self Awareness""","""Collect Robot Parts in this Realm and re-assemble them.""","""Robot Parts Collected"""
"""Blueprints of the Future""","""Collect Schematics in this Realm.""","""Schematics Collected"""
"""A Greater Whole""","""Collect Piles of Gears in this Realm.""","""Gears Collected"""
"""Gifts For Alexandria""","""Find and collect Mechanical Scrap to appease Alexandria, God of Falsity.","""Mechanical Scrap Collected"""
"""Power: On""","""Collect batteries and use them to power generators in this Realm.""","""Generators Powered Up"""
"""Clockwork World""","""Find a clock portal in this Realm and destroy its master.""","""Portal Cleansed"""
"""Grandfather Time""","""Use the Antique Clocks in this Realm to request a boon from Alexandria.""","""Clocks Used"""
"""Tick Tock, You're Dead""","""Reanimate and destroy Clockworks in this Realm.""","""Clockworks Killed"""
"""Final Arbitration""","""Find and destroy Arbiters in this Realm.""","""Arbiters Destroyed"""
"""Leaning Toward Truth""","""Find Left-Balanced Scales in this Realm.""","""Scales Collected"""
"""Leaning Toward Lies""","""Find Right-Balanced Scales in this Realm.""","""Scales Collected"""
"""Cards Against Inhumanity""","""Collect Tarot Cards in this Realm.""","""Cards Collected"""
"""Perfection Is Overrated""","""Collect Books in this Realm and put them back on their Bookshelves.""","""Books Re-shelved"""
"""Gifts For Ariamaki""","""Find and collect Horse Figurines to appease Ariamaki, God of Balance.","""Horse Figurines Collected"""
"""Winner, Winner, Cockatrice Dinner""","""Find a Large Slot Machine in this Realm and win big.""","""Large Slot Machine"""
"""Drunken Revenge""","""Find and defeat Drunken Gambling Dwarves in this Realm.""","""Dwarves Defeated"""
"""Gambler's Fallacy""","""Find and collect Decks of Cards in this Realm.""","""Decks Collected"""
"""Little Wins""","""Find Small Slot Machines in this Realm and win.""","""Small Slot Machines"""
"""Spin the Wheel""","""Find a portal in this Realm and destroy its master.""","""Portal Cleansed"""
"""Undone Ambitions""","""Knock down Houses of Cards and defeat the Luckmantrias contained within.""","""Luckmantrias Defeated"""
"""Monolith of Fate""","""Find Monoliths in this Realm.""","""Monoliths Found"""
"""Keeper of the Orb""","""Find and activate a Mysterious Orb in this Realm.""","""Orb"""
"""Better Days""","""Find and destroy Bloodstained Altars in this Realm.""","""Altars Destroyed"""
"""Unexpected Treasure""","""Find and ransack Bookshelves in this Realm.""","""Bookshelves Found"""
"""A Little Help""","""Find and use Pristine Statues in this Realm.""","""Statues Found"""
"""Entangled""","""Find and defeat Snaptraps in this Realm.""","""Snaptraps Defeated"""
"""The Brightest Brazier""","""Find and defeat Wolpertingers in this Realm.""","""Wolpertingers Defeated"""
"""Retro Style""","""Find and collect Neon Roses in this Realm.""","""Neon Roses Found"""
"""Right in the Eye""","""Find an Eye of T'mere M'rgo in this Realm and defeated its master.""","""Portal Cleansed"""
"""Long Lost Garbage""","""Find and ransack Abandoned Caves in this Realm.""","""Abandoned Caves"""
"""Amalgam Gardens Blues""","""Find and use Red Runestones in this Realm.""","""Red Runestones"""
"""Seeing Red""","""Find and use Blue Runestones in this Realm.""","""Blue Runestones"""
"""Self-Inflicted Pain""","""Find and defeat Masochists in this Realm.""","""Masochists Defeated"""
"""Beauty of Creation""","""Find and defeat Animations in this Realm.""","""Animations Defeated"""
"""Destroy the Imperfections""","""Find and use Sculptures found in this Realm.""","""Sculptures Found"""
"""Fun and Games""","""Find and catch an Animated Paint Brush in this Realm.""","""Animated Paint Brush"""
"""Diabolical Work of Art""","""Find and cleanse a Painting Portal in this Realm.""","""Portal Cleansed"""
"""Astral Trove""","""Find a key and use it to unlock a Large Treasure Chest in this Realm.""","""Large Chest Found"""
"""Eternal Glory""","""Find and make a wish at Fairy Fountains in this Realm.""","""Fairy Fountains"""
"""Nightmares Begone""","""Find and use Dream Catchers in this Realm.""","""Dream Catchers Found"""
"""Children of Shallan""","""Find and defeat Fae in this Realm.""","""Fae Defeated"""
"""Finders Keepers""","""Find and ransack Treasure Caches in this Realm.""","""Caches Found"""
"""It's Just a Game""","""Chase and capture a Young Fae in this Realm.""","""Young Fae Found"""
"""Gift for Shallan""","""Find and collect Fae Orbs in this Realm.""","""Orbs Collected"""
